Unix Date,BTC Px,BTC Volume,ETH Px,ETH Volume,LTC Px,LTC Volume,XRP Px,XRP Volume
1443736800,237.04,318642.03,0.72,0,2.97,43464.43,0.00525,0
1443740400,237.05,243994.04,0.6548,2.75,2.98,6617.91,0.00525,0
1443744000,237.27,232685.24,0.6548,0,2.97,12892.34,0.00525,0
1443747600,237.74,215189.1,0.6647,265.94,2.98,2317.98,0.00525,0
1443751200,237.7,321182.12,0.6647,0,2.97,7391.3,0.00525,0
1443754800,237.42,242505.1,0.72,0,2.97,5702.44,0.00525,0
1443758400,238.13,820743.51,0.72,0,2.98,3047.3,0.00525,0
1443762000,237.58,156672.79,0.72,0,2.96,5124.8,0.00525,0
1443765600,237.52,242653.68,0.72,0,2.96,5872.64,0.00525,0
1443769200,237.89,321893.87,0.72,0.003841,2.98,14286.09,0.00525,0
1443772800,238.17,638449.65,0.72,0,2.98,20951.99,0.00525,0
1443776400,238.04,725180.56,0.68,0,2.99,22109.91,0.00525,0
1443780000,237.42,595716.85,0.67,0,2.98,10564.14,0.00525,0
1443783600,236.81,968565.9,0.67,0,2.98,16051.93,0.00525,0
1443787200,236.98,748553.14,0.67,0,2.97,18881.32,0.00525,0
1443790800,236.95,478688.63,0.67,0,3,20600.05,0.00525,0
1443794400,236.91,643009.47,0.66,0,2.99,5263.5,0.00525,0
1443798000,236.23,877384.86,0.71,0.6993,2.96,17445.26,0.00525,0
1443801600,237.03,774294.9,0.71,0,2.95,17882.29,0.00525,0
1443805200,236.45,437023.25,0.71,0,2.95,29133.8,0.00525,0
1443808800,236.64,354561.61,0.71,0,2.96,9093.64,0.006491,0
1443812400,236.51,360472.82,0.71,0,2.97,2425.7,0.0058,0
1443816000,236.79,310478.98,0.71,0,2.96,3319.89,0.0058,0
1443819600,236.43,229764.1,0.71,0,2.97,2543.54,0.0058,0
1443823200,236.51,391982.52,0.71,0,2.96,5641.54,0.0058,0
1443826800,236.45,290789,0.71,0,2.98,3211.73,0.0058,0
1443830400,236.19,194140.13,0.71,0,2.96,8413.02,0.006392,0
1443834000,237.53,197294.92,0.71,0,2.98,2390.99,0.006392,0
1443837600,236.93,347273.15,0.6747,2.87,2.97,5968.69,0.006392,0
1443841200,237.23,251508.09,0.6747,22.94,2.99,2256.85,0.006392,0
1443844800,238.79,2335662.04,0.6747,0,2.99,3244.58,0.006392,0
1443848400,237.73,530462.16,0.71,1.16,2.97,6711.3,0.006392,0
1443852000,237.31,277615.86,0.71,0,2.97,10161.96,0.0058,0
1443855600,237.3,285969.07,0.71,1,2.96,17671.02,0.0058,0
1443859200,237.02,334525.83,0.71,0,2.99,5060.29,0.0058,0
