Timestamp,Eth,LC,XXX,BC,Vol BTC,Vol Curr,Wt Px
2018-01-02 00:00,13480,13999,13480,13830.32,1060.41,14640463.89,13806.47
2018-01-02 01:00,13839.32,13889.42,13631,13632.94,1187.78,16378927.51,13789.51
2018-01-02 02:00,13639.99,13713.27,13431,13550.01,1808.65,24507435.12,13550.16
2018-01-02 03:00,13550,13550.01,13310.66,13372.95,850.79,11402543.03,13402.31
2018-01-02 04:00,13372.96,13400,13005,13164.83,1314.81,17346125.17,13192.88
2018-01-02 05:00,13164.84,13250,13150,13194.02,464.42,6129422.78,13197.88
2018-01-02 06:00,13194.01,13424,13154.63,13368,480,6383729.43,13299.47
2018-01-02 07:00,13368,13438.99,13300,13423.34,220,2941289.52,13369.62
2018-01-02 08:00,13423.34,13558.94,13423.33,13478.23,430.94,5809804.14,13481.7
2018-01-02 09:00,13478.24,13625.17,13478.23,13600.1,481.79,6545987,13586.86
2018-01-02 10:00,13600.1,13750,13600.09,13740.01,503.14,6896692.9,13707.34
2018-01-02 11:00,13740,13740.01,13560,13645.41,263.54,3595601.75,13643.27
2018-01-02 12:00,13640.01,13720,13580,13632,411.01,5613738.67,13658.31
2018-01-02 13:00,13632,13988,13632,13969.57,845.65,11719938.58,13859.14
2018-01-02 14:00,13969.57,13991.97,13790,13859,787.89,10951766.88,13900.2
2018-01-02 15:00,13858.99,13893.67,13660,13741.01,752.11,10343437.55,13752.51
2018-01-02 16:00,13741.01,13894,13689.99,13690,712.78,9842266.43,13808.27
2018-01-02 17:00,13689.99,13895,13680,13895,776.29,10714873.77,13802.59
2018-01-02 18:00,13895,14800,13894.99,14577,4078.55,58732014.85,14400.22
2018-01-02 19:00,14577,15275,14554,14790.01,4247.91,63503335.38,14949.33
2018-01-02 20:00,14790.01,15177.02,14790.01,14830,1565.21,23511831.42,15021.53
2018-01-02 21:00,14830,14965.01,14700,14761.01,1030.25,15271816.61,14823.43
2018-01-02 22:00,14761.01,15049,14761.01,14862.03,1019.36,15227565.49,14938.33
2018-01-02 23:00,14870.02,14942.24,14718.01,14781.51,803.17,11887423.57,14800.66
2018-01-03 00:00,14781.52,14970,14761,14885,712.81,10608433.64,14882.6
2018-01-03 01:00,14885,14899.99,14816,14888.9,507.01,7540092.3,14871.7
2018-01-03 02:00,14888.9,15084.46,14822.47,15041,1006.03,15056579.84,14966.35
2018-01-03 03:00,15041,15198.88,14850,14900.04,1442.27,21746954.73,15078.28
2018-01-03 04:00,14907.5,15150,14904.21,15090.01,681.02,10254675.35,15057.78
2018-01-03 05:00,15090.01,15149.8,15015,15098.88,573.31,8662649.13,15110.01
2018-01-03 06:00,15098.87,15374.7,15067.61,15356,953.17,14531862.17,15245.77
2018-01-03 07:00,15356,15400,15277.62,15308,548.84,8416063.44,15334.27
2018-01-03 08:00,15308,15308,15135,15162,380.72,5789781.65,15207.43
2018-01-03 09:00,15164.99,15180.01,14860.62,14880.01,737.83,11041347.92,14964.7
2018-01-03 10:00,14881.49,14950.01,14629,14750.01,751.21,11082802.11,14753.25
2018-01-03 11:00,14750.01,14907.51,14750,14903.13,291.13,4320291.2,14839.87
2018-01-03 12:00,14903.14,14944.83,14628,14650,357.92,5301462.45,14811.91
2018-01-03 13:00,14650,14986.06,14650,14971.9,523.8,7770485.27,14834.71
2018-01-03 14:00,14971.91,15100,14900,14925.03,633.11,9501163.6,15007.21
2018-01-03 15:00,14925.03,15100,14925.02,15085,588.7,8856447.36,15044.14
2018-01-03 16:00,15085.01,15250,15080,15119.93,831.11,12596963.92,15156.72
2018-01-03 17:00,15119.93,15120.2,14954.99,14955,790.58,11914632.44,15070.66
2018-01-03 18:00,14954.99,14955,14778,14787.89,1176.39,17521660.97,14894.47
2018-01-03 19:00,14787.89,14944,14775,14789,1012.02,15044705.94,14866
2018-01-03 20:00,14789,14993.42,14780,14980.12,799.84,11891404.73,14867.14
2018-01-03 21:00,14980.12,15080.84,14955.73,15067.99,748.84,11247400.78,15019.71
2018-01-03 22:00,15067.99,15068,14863,14865.01,569.58,8538437.94,14990.88
2018-01-03 23:00,14865.01,15098.14,14865,15098.14,999.09,14990148.9,15003.81
2018-01-04 00:00,15098.23,15129.99,15032,15104.48,765,11551487.42,15099.95
2018-01-04 01:00,15104.49,15370,14926.26,15369.73,1246.08,18928885.19,15190.71
2018-01-04 02:00,15369.73,15400,15213.77,15290.31,1211.37,18594534.97,15349.98
2018-01-04 03:00,15279.52,15300.52,15110,15150.01,743.6,11327204.22,15232.97
2018-01-04 04:00,15150.02,15150.02,14950,14986.76,1003.41,15057903.4,15006.77
2018-01-04 05:00,14986.76,15000,14863.69,14971.23,754.83,11285041.76,14950.38
2018-01-04 06:00,14971.01,15142,14970.99,15000,549.17,8275601.75,15069.41
2018-01-04 07:00,15000,15000,14920,14920,546.43,8171822.9,14954.97
2018-01-04 08:00,14920.01,14945.99,14406.51,14406.51,1517.44,22251160.71,14663.63
2018-01-04 09:00,14417,14614.54,14230,14577.88,973.13,14058065.16,14446.26
2018-01-04 10:00,14577.88,14698.88,14531,14531.01,434.62,6343109.85,14594.51
2018-01-04 11:00,14531.01,14603.96,14386.01,14603.19,418.36,6056528.68,14476.98
2018-01-04 12:00,14603.19,14647,14400,14480,640.79,9308848.54,14527.1
2018-01-04 13:00,14480,14686.56,14471.13,14619.99,791.8,11546713.2,14582.9
2018-01-04 14:00,14619.99,14699.06,14567.33,14674.01,748.27,10946719.21,14629.31
2018-01-04 15:00,14674.01,14676.21,14510,14620.01,965.1,14108861.32,14619.14
2018-01-04 16:00,14620.01,14649.42,14500,14625.49,731.98,10672544.72,14580.32
2018-01-04 17:00,14625.5,14750,14608,14717.01,718.47,10558149.92,14695.23
2018-01-04 18:00,14717.01,14928.04,14717.01,14815,852.93,12661090.72,14844.2
2018-01-04 19:00,14815,14998,14784.22,14997.99,793.71,11801643.18,14868.99
2018-01-04 20:00,14997.99,15075,14860.97,14889.99,1077.26,16156116.68,14997.4
2018-01-04 21:00,14890,15024.99,14860.97,14940.04,671.22,10044044.24,14963.85
2018-01-04 22:00,14940.04,15049,14899.81,15014.99,572.48,8560938.27,14954.08
2018-01-04 23:00,15015,15165,14979.44,15144.99,839.56,12637480.2,15052.48
2018-01-05 00:00,15145,15176.86,14980,15053.18,547.12,8235710.21,15052.85
2018-01-05 01:00,15053.18,15099.98,15035,15073,433.2,6526384.85,15065.69
2018-01-05 02:00,15073,15171,15072.99,15120.02,528.59,7997494.91,15129.88
2018-01-05 03:00,15120.01,15120.02,14950,14959,562.59,8444993.08,15010.83
2018-01-05 04:00,14959,15021,14819.78,14938.79,657.72,9814976.44,14922.62
2018-01-05 05:00,14938.8,15068.1,14850.01,15038,507.49,7597942.07,14971.51
2018-01-05 06:00,15038,15046.53,14902.24,14943.5,425.6,6379240.96,14988.8
2018-01-05 07:00,14943.5,14976.01,14842.47,14953.99,284.72,4245320.35,14910.63
2018-01-05 08:00,14953.99,15369,14953.98,15369,1037.53,15752557.95,15182.77
2018-01-05 09:00,15369,15940,15369,15812.79,2784.84,43655706.88,15676.2
2018-01-05 10:00,15800.37,16097,15781.54,15995.56,1181.7,18874850.56,15972.62
2018-01-05 11:00,15995.56,16052.73,15775.18,16000,551.46,8793707.98,15946.37
2018-01-05 12:00,16000.01,16016.81,15714.01,15861.58,443.85,7040651.66,15862.59
2018-01-05 13:00,15855.01,16054.97,15848.12,16053.76,476.17,7599501.77,15959.66
2018-01-05 14:00,16053.76,16102,15851,16050,732.66,11736292.61,16018.68
2018-01-05 15:00,16050,16050,15927.13,16048.98,659.78,10547440.95,15986.36
2018-01-05 16:00,16048.99,16351.5,16048.98,16277,1417.35,23019432.09,16241.15
2018-01-05 17:00,16278.59,16586,16239.16,16379.67,1843.55,30303100.46,16437.37
2018-01-05 18:00,16379.61,16550,16305.24,16381,999.69,16429799.02,16434.93
2018-01-05 19:00,16380.99,16489,16213.81,16441.19,1189.95,19464555.33,16357.49
2018-01-05 20:00,16441.18,16556.25,16320,16556.25,828.15,13610389.84,16434.7
2018-01-05 21:00,16556.25,16899.5,16556.25,16727.02,1764.23,29587593.49,16770.79
2018-01-05 22:00,16727.02,16991.42,16720.13,16975,765.47,12912000.41,16868.04
2018-01-05 23:00,16975,17178,16870,16960.01,1964.64,33419183,17010.38
2018-01-06 00:00,16960.01,16960.01,16655.01,16889.32,1312.38,21993792.2,16758.7
2018-01-06 01:00,16889.31,16999,16857.75,16944,596.22,10089995.96,16923.2
2018-01-06 02:00,16944,16992.5,16553.37,16553.37,833.47,13963225.37,16753.12
2018-01-06 03:00,16553.37,16770,16519,16571.78,589.42,9800226.08,16626.85
2018-01-06 04:00,16570.86,16650,16410.75,16550.02,918.76,15167689.16,16508.95
2018-01-06 05:00,16550.03,16682,16434,16594.08,484.25,8026685.42,16575.59
2018-01-06 06:00,16594.09,16658.9,16564.99,16608.01,288.51,4795719.21,16622.48
2018-01-06 07:00,16608,16608.01,16404.99,16509.99,428.82,7071583.23,16490.7
2018-01-06 08:00,16510,16600,16403.43,16404.49,226.47,3732851.56,16482.99
2018-01-06 09:00,16404.48,16514.56,16328.03,16362.79,347.07,5700838.87,16425.39
2018-01-06 10:00,16362.79,16680,16345,16679.99,225.08,3720074.16,16527.71
2018-01-06 11:00,16680,16684,16496.2,16501,350.19,5811509.19,16595.28
2018-01-06 12:00,16501,16525,16300,16300.01,520.66,8540025.92,16402.2
2018-01-06 13:00,16300,16398.23,16251.01,16276,502.08,8190961.55,16314
2018-01-06 14:00,16276,16518.4,16275.99,16479.88,409.97,6730035.2,16415.93
2018-01-06 15:00,16479.89,16650,16449,16598,421.37,6988298.7,16584.69
2018-01-06 16:00,16597.99,16893.18,16541.47,16811.12,719.86,12027074.57,16707.41
2018-01-06 17:00,16811.11,16892,16710,16892,593,9972554.15,16817.15
2018-01-06 18:00,16892,16984.8,16726.64,16785.02,722.46,12197674.71,16883.56
2018-01-06 19:00,16785.02,16849.99,16682.47,16731,395.29,6625382.17,16760.83
2018-01-06 20:00,16731,16849.5,16716.56,16849.5,323.04,5421816.24,16783.84
2018-01-06 21:00,16849.5,16849.99,16712.2,16841.44,425.04,7140474.14,16799.39
2018-01-06 22:00,16841.44,17174,16841.43,17029.99,1598.49,27217246.53,17026.82
2018-01-06 23:00,17029.99,17122,17000.04,17098.99,512.89,8762728.73,17084.98
2018-01-07 00:00,17099,17115.01,16925,16990,601.65,10228696.95,17001.09
2018-01-07 01:00,16990,17039,16885,16997.17,572.17,9716341.1,16981.49
2018-01-07 02:00,16997.17,16997.17,16833,16833,299.27,5061017.54,16911.43
2018-01-07 03:00,16833,16849.96,16666.6,16743.19,549.89,9215040.16,16758.12
2018-01-07 04:00,16743.19,16783.2,16554.99,16635.31,492.73,8217958.52,16678.29
2018-01-07 05:00,16635.31,16807.06,16600,16610.02,423.08,7060084.77,16687.47
2018-01-07 06:00,16610.02,16634.16,16355,16390.3,880.52,14526047.14,16497.15
2018-01-07 07:00,16390.3,16744,16390.29,16744,462.41,7658012.36,16560.92
2018-01-07 08:00,16744,16850,16709,16754.72,224.82,3770786.47,16772.1
2018-01-07 09:00,16754.7,16775.01,16625,16626.96,98.27,1641124.86,16699.45
2018-01-07 10:00,16626.96,16737.82,16626.95,16721.46,179.21,2993172.26,16702.45
2018-01-07 11:00,16721.47,16768,16626.97,16626.97,103.09,1722160.8,16705.06
2018-01-07 12:00,16626.97,16626.97,16499,16499,236.6,3913210.96,16539.59
2018-01-07 13:00,16499.01,16543.7,16401,16460.01,313.56,5160957.6,16459.26
2018-01-07 14:00,16460.01,16581,16439.01,16567.01,186.3,3082719.88,16546.66
2018-01-07 15:00,16567.01,16600,16502,16502.01,315.61,5218153.23,16533.77
2018-01-07 16:00,16502.01,16502.01,16080,16153.48,1298.56,21137855.88,16277.98
2018-01-07 17:00,16153.48,16256.72,15755.01,15924.01,1652.19,26470819.78,16021.65
2018-01-07 18:00,15924.02,16128.51,15775,16111.74,952.29,15189781.69,15950.81
2018-01-07 19:00,16111.73,16211.11,16100,16123,518.1,8371065.42,16157.29
2018-01-07 20:00,16122.99,16169,16020,16147.98,458.47,7379620.17,16096.1
2018-01-07 21:00,16147.98,16305,16147.97,16220.2,544,8833288.64,16237.79
2018-01-07 22:00,16220.21,16460,16197,16408.7,481.58,7896673.86,16397.39
2018-01-07 23:00,16408.71,16408.71,16172.21,16174.22,357.01,5817935.57,16296.16
2018-01-08 00:00,16174.22,16275,15950,15970.68,656.74,10609644.61,16155.1
2018-01-08 01:00,15970.67,16049,15760,15934.46,1231.93,19581732.56,15895.11
2018-01-08 02:00,15934.75,16100,15834.89,15948.6,629.98,10049316.53,15951.8
2018-01-08 03:00,15948.61,15948.61,15514.55,15646.3,1185.45,18591984.94,15683.53
2018-01-08 04:00,15646.3,15830,15570.24,15680.08,557.46,8762465.04,15718.61
2018-01-08 05:00,15680.07,15940,15552.9,15862.9,692.3,10936569.31,15797.41
2018-01-08 06:00,15862.91,15904.57,15765.27,15824.99,228.46,3621219.93,15850.37
